,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
1898,1982-04,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.2,E
2007,1982-05,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.2,
2008,1982-05,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.9,
2009,1982-05,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2013,1982-05,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2014,1982-05,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
2015,1982-05,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.6,E
2016,1982-05,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.2,
2017,1982-05,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
2018,1982-05,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.2,E
2127,1982-06,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.2,
2128,1982-06,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.9,
2129,1982-06,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2133,1982-06,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2134,1982-06,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
2135,1982-06,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.7,E
2136,1982-06,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.2,
2137,1982-06,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
2138,1982-06,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.2,E
2247,1982-07,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.2,
2248,1982-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.9,
2249,1982-07,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2253,1982-07,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2254,1982-07,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
2255,1982-07,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.7,E
2256,1982-07,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.0,
2257,1982-07,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
2258,1982-07,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
2367,1982-08,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.4,
2368,1982-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,34.2,
2369,1982-08,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
2373,1982-08,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
2374,1982-08,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
2375,1982-08,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.7,E
