,DATE,PLACE,PLOT,VALUE,MONTH
1431,1981-12-01,"Kelowna, British Columbia",Total (house and land),,12
1434,1981-12-01,"Vancouver, British Columbia",Total (house and land),77.8,12
1437,1981-12-01,"Victoria, British Columbia",Total (house and land),126.0,12
1446,1982-01-01,Newfoundland and Labrador,Total (house and land),,1
1449,1982-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.6,1
1452,1982-01-01,Prince Edward Island,Total (house and land),,1
1455,1982-01-01,"Charlottetown, Prince Edward Island",Total (house and land),,1
1461,1982-01-01,"Halifax, Nova Scotia",Total (house and land),,1
1467,1982-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,1
1473,1982-01-01,"Québec, Quebec",Total (house and land),32.4,1
1476,1982-01-01,"Sherbrooke, Quebec",Total (house and land),,1
1479,1982-01-01,"Trois-Rivières, Quebec",Total (house and land),,1
1482,1982-01-01,"Montréal, Quebec",Total (house and land),32.0,1
1485,1982-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,1
1491,1982-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),36.9,1
1494,1982-01-01,"Oshawa, Ontario",Total (house and land),,1
1497,1982-01-01,"Toronto, Ontario",Total (house and land),32.7,1
1500,1982-01-01,"Hamilton, Ontario",Total (house and land),32.7,1
1503,1982-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,1
1506,1982-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.4,1
1509,1982-01-01,"Guelph, Ontario",Total (house and land),,1
1512,1982-01-01,"London, Ontario",Total (house and land),34.2,1
1515,1982-01-01,"Windsor, Ontario",Total (house and land),58.3,1
1518,1982-01-01,"Greater Sudbury, Ontario",Total (house and land),58.2,1
1527,1982-01-01,"Winnipeg, Manitoba",Total (house and land),29.4,1
1533,1982-01-01,"Regina, Saskatchewan",Total (house and land),22.5,1
1536,1982-01-01,"Saskatoon, Saskatchewan",Total (house and land),35.3,1
1542,1982-01-01,"Calgary, Alberta",Total (house and land),27.7,1
1545,1982-01-01,"Edmonton, Alberta",Total (house and land),37.9,1
1551,1982-01-01,"Kelowna, British Columbia",Total (house and land),,1
1554,1982-01-01,"Vancouver, British Columbia",Total (house and land),77.5,1
1557,1982-01-01,"Victoria, British Columbia",Total (house and land),126.0,1
1566,1982-02-01,Newfoundland and Labrador,Total (house and land),,2
1569,1982-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.6,2
1572,1982-02-01,Prince Edward Island,Total (house and land),,2
1575,1982-02-01,"Charlottetown, Prince Edward Island",Total (house and land),,2
1581,1982-02-01,"Halifax, Nova Scotia",Total (house and land),,2
1587,1982-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.7,2
1593,1982-02-01,"Québec, Quebec",Total (house and land),32.7,2
