,DATE,PLACE,PLOT,VALUE,MONTH
1596,1982-02-01,"Sherbrooke, Quebec",Total (house and land),,2
1599,1982-02-01,"Trois-Rivières, Quebec",Total (house and land),,2
1602,1982-02-01,"Montréal, Quebec",Total (house and land),32.0,2
1605,1982-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,2
1611,1982-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.0,2
1614,1982-02-01,"Oshawa, Ontario",Total (house and land),,2
1617,1982-02-01,"Toronto, Ontario",Total (house and land),32.4,2
1620,1982-02-01,"Hamilton, Ontario",Total (house and land),33.1,2
1623,1982-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,2
1626,1982-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.4,2
1629,1982-02-01,"Guelph, Ontario",Total (house and land),,2
1632,1982-02-01,"London, Ontario",Total (house and land),34.2,2
1635,1982-02-01,"Windsor, Ontario",Total (house and land),58.3,2
1638,1982-02-01,"Greater Sudbury, Ontario",Total (house and land),58.5,2
1647,1982-02-01,"Winnipeg, Manitoba",Total (house and land),29.4,2
1653,1982-02-01,"Regina, Saskatchewan",Total (house and land),22.6,2
1656,1982-02-01,"Saskatoon, Saskatchewan",Total (house and land),35.2,2
1662,1982-02-01,"Calgary, Alberta",Total (house and land),27.9,2
1665,1982-02-01,"Edmonton, Alberta",Total (house and land),38.2,2
1671,1982-02-01,"Kelowna, British Columbia",Total (house and land),,2
1674,1982-02-01,"Vancouver, British Columbia",Total (house and land),76.8,2
1677,1982-02-01,"Victoria, British Columbia",Total (house and land),121.8,2
1686,1982-03-01,Newfoundland and Labrador,Total (house and land),,3
1689,1982-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.6,3
1692,1982-03-01,Prince Edward Island,Total (house and land),,3
1695,1982-03-01,"Charlottetown, Prince Edward Island",Total (house and land),,3
1701,1982-03-01,"Halifax, Nova Scotia",Total (house and land),,3
1707,1982-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.5,3
1713,1982-03-01,"Québec, Quebec",Total (house and land),32.7,3
1716,1982-03-01,"Sherbrooke, Quebec",Total (house and land),,3
1719,1982-03-01,"Trois-Rivières, Quebec",Total (house and land),,3
1722,1982-03-01,"Montréal, Quebec",Total (house and land),32.1,3
1725,1982-03-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,3
1731,1982-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.2,3
1734,1982-03-01,"Oshawa, Ontario",Total (house and land),,3
1737,1982-03-01,"Toronto, Ontario",Total (house and land),32.4,3
1740,1982-03-01,"Hamilton, Ontario",Total (house and land),33.1,3
1743,1982-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,3
1746,1982-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.4,3
1749,1982-03-01,"Guelph, Ontario",Total (house and land),,3
1752,1982-03-01,"London, Ontario",Total (house and land),34.2,3
1755,1982-03-01,"Windsor, Ontario",Total (house and land),58.3,3
1758,1982-03-01,"Greater Sudbury, Ontario",Total (house and land),58.7,3
1767,1982-03-01,"Winnipeg, Manitoba",Total (house and land),29.9,3
1773,1982-03-01,"Regina, Saskatchewan",Total (house and land),22.6,3
1776,1982-03-01,"Saskatoon, Saskatchewan",Total (house and land),35.1,3
1782,1982-03-01,"Calgary, Alberta",Total (house and land),28.0,3
1785,1982-03-01,"Edmonton, Alberta",Total (house and land),37.9,3
1791,1982-03-01,"Kelowna, British Columbia",Total (house and land),,3
1794,1982-03-01,"Vancouver, British Columbia",Total (house and land),74.3,3
1797,1982-03-01,"Victoria, British Columbia",Total (house and land),119.0,3
1806,1982-04-01,Newfoundland and Labrador,Total (house and land),,4
1809,1982-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,4
1812,1982-04-01,Prince Edward Island,Total (house and land),,4
1815,1982-04-01,"Charlottetown, Prince Edward Island",Total (house and land),,4
1821,1982-04-01,"Halifax, Nova Scotia",Total (house and land),,4
1827,1982-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.5,4
1833,1982-04-01,"Québec, Quebec",Total (house and land),32.9,4
1836,1982-04-01,"Sherbrooke, Quebec",Total (house and land),,4
1839,1982-04-01,"Trois-Rivières, Quebec",Total (house and land),,4
1842,1982-04-01,"Montréal, Quebec",Total (house and land),32.1,4
1845,1982-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,4
1851,1982-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.3,4
1854,1982-04-01,"Oshawa, Ontario",Total (house and land),,4
1857,1982-04-01,"Toronto, Ontario",Total (house and land),32.4,4
1860,1982-04-01,"Hamilton, Ontario",Total (house and land),33.1,4
1863,1982-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,4
1866,1982-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.4,4
1869,1982-04-01,"Guelph, Ontario",Total (house and land),,4
1872,1982-04-01,"London, Ontario",Total (house and land),34.2,4
1875,1982-04-01,"Windsor, Ontario",Total (house and land),58.3,4
1878,1982-04-01,"Greater Sudbury, Ontario",Total (house and land),58.2,4
1887,1982-04-01,"Winnipeg, Manitoba",Total (house and land),30.2,4
1893,1982-04-01,"Regina, Saskatchewan",Total (house and land),22.6,4
1896,1982-04-01,"Saskatoon, Saskatchewan",Total (house and land),35.2,4
1902,1982-04-01,"Calgary, Alberta",Total (house and land),28.0,4
1905,1982-04-01,"Edmonton, Alberta",Total (house and land),37.6,4
1911,1982-04-01,"Kelowna, British Columbia",Total (house and land),,4
1914,1982-04-01,"Vancouver, British Columbia",Total (house and land),73.1,4
1917,1982-04-01,"Victoria, British Columbia",Total (house and land),117.4,4
1926,1982-05-01,Newfoundland and Labrador,Total (house and land),,5
1929,1982-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,5
1932,1982-05-01,Prince Edward Island,Total (house and land),,5
1935,1982-05-01,"Charlottetown, Prince Edward Island",Total (house and land),,5
1941,1982-05-01,"Halifax, Nova Scotia",Total (house and land),,5
1947,1982-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.5,5
1953,1982-05-01,"Québec, Quebec",Total (house and land),33.0,5
1956,1982-05-01,"Sherbrooke, Quebec",Total (house and land),,5
1959,1982-05-01,"Trois-Rivières, Quebec",Total (house and land),,5
1962,1982-05-01,"Montréal, Quebec",Total (house and land),32.1,5
1965,1982-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,5
1971,1982-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.3,5
1974,1982-05-01,"Oshawa, Ontario",Total (house and land),,5
1977,1982-05-01,"Toronto, Ontario",Total (house and land),32.3,5
1980,1982-05-01,"Hamilton, Ontario",Total (house and land),33.1,5
1983,1982-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,5
1986,1982-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.9,5
1989,1982-05-01,"Guelph, Ontario",Total (house and land),,5
1992,1982-05-01,"London, Ontario",Total (house and land),34.3,5
1995,1982-05-01,"Windsor, Ontario",Total (house and land),57.1,5
1998,1982-05-01,"Greater Sudbury, Ontario",Total (house and land),58.4,5
2007,1982-05-01,"Winnipeg, Manitoba",Total (house and land),30.2,5
2013,1982-05-01,"Regina, Saskatchewan",Total (house and land),22.6,5
2016,1982-05-01,"Saskatoon, Saskatchewan",Total (house and land),35.2,5
2022,1982-05-01,"Calgary, Alberta",Total (house and land),27.9,5
2025,1982-05-01,"Edmonton, Alberta",Total (house and land),36.5,5
2031,1982-05-01,"Kelowna, British Columbia",Total (house and land),,5
2034,1982-05-01,"Vancouver, British Columbia",Total (house and land),70.6,5
2037,1982-05-01,"Victoria, British Columbia",Total (house and land),116.0,5
2046,1982-06-01,Newfoundland and Labrador,Total (house and land),,6
2049,1982-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,6
2052,1982-06-01,Prince Edward Island,Total (house and land),,6
2055,1982-06-01,"Charlottetown, Prince Edward Island",Total (house and land),,6
2061,1982-06-01,"Halifax, Nova Scotia",Total (house and land),,6
2067,1982-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.5,6
2073,1982-06-01,"Québec, Quebec",Total (house and land),33.0,6
2076,1982-06-01,"Sherbrooke, Quebec",Total (house and land),,6
2079,1982-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
2082,1982-06-01,"Montréal, Quebec",Total (house and land),32.1,6
2085,1982-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
2091,1982-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.3,6
2094,1982-06-01,"Oshawa, Ontario",Total (house and land),,6
2097,1982-06-01,"Toronto, Ontario",Total (house and land),32.1,6
2100,1982-06-01,"Hamilton, Ontario",Total (house and land),34.2,6
2103,1982-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.1,6
2106,1982-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),36.2,6
2109,1982-06-01,"Guelph, Ontario",Total (house and land),,6
2112,1982-06-01,"London, Ontario",Total (house and land),34.3,6
2115,1982-06-01,"Windsor, Ontario",Total (house and land),56.7,6
2118,1982-06-01,"Greater Sudbury, Ontario",Total (house and land),58.4,6
2127,1982-06-01,"Winnipeg, Manitoba",Total (house and land),30.2,6
2133,1982-06-01,"Regina, Saskatchewan",Total (house and land),22.6,6
2136,1982-06-01,"Saskatoon, Saskatchewan",Total (house and land),35.2,6
2142,1982-06-01,"Calgary, Alberta",Total (house and land),27.6,6
2145,1982-06-01,"Edmonton, Alberta",Total (house and land),36.3,6
2151,1982-06-01,"Kelowna, British Columbia",Total (house and land),,6
2154,1982-06-01,"Vancouver, British Columbia",Total (house and land),68.1,6
2157,1982-06-01,"Victoria, British Columbia",Total (house and land),115.2,6
2166,1982-07-01,Newfoundland and Labrador,Total (house and land),,7
2169,1982-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,7
2172,1982-07-01,Prince Edward Island,Total (house and land),,7
2175,1982-07-01,"Charlottetown, Prince Edward Island",Total (house and land),,7
2181,1982-07-01,"Halifax, Nova Scotia",Total (house and land),,7
2187,1982-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.0,7
2193,1982-07-01,"Québec, Quebec",Total (house and land),33.0,7
2196,1982-07-01,"Sherbrooke, Quebec",Total (house and land),,7
2199,1982-07-01,"Trois-Rivières, Quebec",Total (house and land),,7
2202,1982-07-01,"Montréal, Quebec",Total (house and land),32.3,7
2205,1982-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,7
2211,1982-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.3,7
2214,1982-07-01,"Oshawa, Ontario",Total (house and land),,7
2217,1982-07-01,"Toronto, Ontario",Total (house and land),32.1,7
2220,1982-07-01,"Hamilton, Ontario",Total (house and land),34.2,7
2223,1982-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.1,7
2226,1982-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),36.2,7
2229,1982-07-01,"Guelph, Ontario",Total (house and land),,7
2232,1982-07-01,"London, Ontario",Total (house and land),34.3,7
2235,1982-07-01,"Windsor, Ontario",Total (house and land),56.7,7
2238,1982-07-01,"Greater Sudbury, Ontario",Total (house and land),58.4,7
2247,1982-07-01,"Winnipeg, Manitoba",Total (house and land),30.2,7
2253,1982-07-01,"Regina, Saskatchewan",Total (house and land),22.6,7
2256,1982-07-01,"Saskatoon, Saskatchewan",Total (house and land),35.0,7
2262,1982-07-01,"Calgary, Alberta",Total (house and land),27.5,7
2265,1982-07-01,"Edmonton, Alberta",Total (house and land),36.1,7
2271,1982-07-01,"Kelowna, British Columbia",Total (house and land),,7
2274,1982-07-01,"Vancouver, British Columbia",Total (house and land),66.0,7
2277,1982-07-01,"Victoria, British Columbia",Total (house and land),109.4,7
2286,1982-08-01,Newfoundland and Labrador,Total (house and land),,8
2289,1982-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,8
2292,1982-08-01,Prince Edward Island,Total (house and land),,8
2295,1982-08-01,"Charlottetown, Prince Edward Island",Total (house and land),,8
2301,1982-08-01,"Halifax, Nova Scotia",Total (house and land),,8
2307,1982-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.0,8
2313,1982-08-01,"Québec, Quebec",Total (house and land),33.3,8
2316,1982-08-01,"Sherbrooke, Quebec",Total (house and land),,8
2319,1982-08-01,"Trois-Rivières, Quebec",Total (house and land),,8
2322,1982-08-01,"Montréal, Quebec",Total (house and land),32.3,8
2325,1982-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,8
2331,1982-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.4,8
2334,1982-08-01,"Oshawa, Ontario",Total (house and land),,8
2337,1982-08-01,"Toronto, Ontario",Total (house and land),31.6,8
2340,1982-08-01,"Hamilton, Ontario",Total (house and land),34.2,8
2343,1982-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.1,8
2346,1982-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),36.2,8
2349,1982-08-01,"Guelph, Ontario",Total (house and land),,8
2352,1982-08-01,"London, Ontario",Total (house and land),34.3,8
2355,1982-08-01,"Windsor, Ontario",Total (house and land),56.7,8
2358,1982-08-01,"Greater Sudbury, Ontario",Total (house and land),58.0,8
2367,1982-08-01,"Winnipeg, Manitoba",Total (house and land),30.4,8
2373,1982-08-01,"Regina, Saskatchewan",Total (house and land),22.6,8
2376,1982-08-01,"Saskatoon, Saskatchewan",Total (house and land),35.0,8
2382,1982-08-01,"Calgary, Alberta",Total (house and land),27.3,8
2385,1982-08-01,"Edmonton, Alberta",Total (house and land),35.7,8
2391,1982-08-01,"Kelowna, British Columbia",Total (house and land),,8
2394,1982-08-01,"Vancouver, British Columbia",Total (house and land),65.5,8
2397,1982-08-01,"Victoria, British Columbia",Total (house and land),109.1,8
2406,1982-09-01,Newfoundland and Labrador,Total (house and land),,9
2409,1982-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,9
2412,1982-09-01,Prince Edward Island,Total (house and land),,9
2415,1982-09-01,"Charlottetown, Prince Edward Island",Total (house and land),,9
2421,1982-09-01,"Halifax, Nova Scotia",Total (house and land),,9
2427,1982-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.2,9
2433,1982-09-01,"Québec, Quebec",Total (house and land),33.6,9
2436,1982-09-01,"Sherbrooke, Quebec",Total (house and land),,9
2439,1982-09-01,"Trois-Rivières, Quebec",Total (house and land),,9
2442,1982-09-01,"Montréal, Quebec",Total (house and land),32.4,9
2445,1982-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,9
2451,1982-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.4,9
2454,1982-09-01,"Oshawa, Ontario",Total (house and land),,9
2457,1982-09-01,"Toronto, Ontario",Total (house and land),31.5,9
2460,1982-09-01,"Hamilton, Ontario",Total (house and land),34.9,9
2463,1982-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.1,9
2466,1982-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),36.2,9
2469,1982-09-01,"Guelph, Ontario",Total (house and land),,9
2472,1982-09-01,"London, Ontario",Total (house and land),34.3,9
2475,1982-09-01,"Windsor, Ontario",Total (house and land),56.7,9
2478,1982-09-01,"Greater Sudbury, Ontario",Total (house and land),58.8,9
2487,1982-09-01,"Winnipeg, Manitoba",Total (house and land),30.4,9
2493,1982-09-01,"Regina, Saskatchewan",Total (house and land),22.6,9
2496,1982-09-01,"Saskatoon, Saskatchewan",Total (house and land),34.8,9
2502,1982-09-01,"Calgary, Alberta",Total (house and land),25.9,9
2505,1982-09-01,"Edmonton, Alberta",Total (house and land),35.6,9
2511,1982-09-01,"Kelowna, British Columbia",Total (house and land),,9
2514,1982-09-01,"Vancouver, British Columbia",Total (house and land),65.0,9
2517,1982-09-01,"Victoria, British Columbia",Total (house and land),105.9,9
2526,1982-10-01,Newfoundland and Labrador,Total (house and land),,10
2529,1982-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,10
2532,1982-10-01,Prince Edward Island,Total (house and land),,10
2535,1982-10-01,"Charlottetown, Prince Edward Island",Total (house and land),,10
2541,1982-10-01,"Halifax, Nova Scotia",Total (house and land),,10
2547,1982-10-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),55.8,10
2553,1982-10-01,"Québec, Quebec",Total (house and land),33.6,10
2556,1982-10-01,"Sherbrooke, Quebec",Total (house and land),,10
2559,1982-10-01,"Trois-Rivières, Quebec",Total (house and land),,10
2562,1982-10-01,"Montréal, Quebec",Total (house and land),32.8,10
2565,1982-10-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,10
2571,1982-10-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),37.9,10
2574,1982-10-01,"Oshawa, Ontario",Total (house and land),,10
2577,1982-10-01,"Toronto, Ontario",Total (house and land),31.1,10
2580,1982-10-01,"Hamilton, Ontario",Total (house and land),35.1,10
2583,1982-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.1,10
2586,1982-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),36.7,10
2589,1982-10-01,"Guelph, Ontario",Total (house and land),,10
2592,1982-10-01,"London, Ontario",Total (house and land),34.0,10
